auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,0.0,ABV: 5.1%,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Autumn Amber Ale,chitwood-homebrew-autumn-amber-ale,Red Ale - American Amber / Red,23192,6541,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Chitwood Homebrew,chitwood-homebrew,Home Brewery,,,,United States,,,0.0,0.0,"Sun, 09 Jan 2011 14:04:19 +0000",1,1,,,,1,0.0,,0,7,1,0,,,,,,,,,,,0.0,[],2.524,False
0,7.5,"An Historical Porter, aged in barrels and enhanced with Bret. A smooth ale with hints of leather, cherries and chocolate. Simply beautiful!",44,https://untappd.akamaized.net/site/beer_logos/beer-_23193_sm_f17e230254d66357c68b634d8d1a28.jpeg,,Black Friars,paddock-wood-brewing-co-black-friars,Porter - Other,23193,1747,https://untappd.akamaized.net/site/brewery_logos/brewery-PaddockWood_1747.jpeg,Paddock Wood Brewing Co.,paddock-wood-brewing-co,Micro Brewery,http://www.facebook.com/paddockwood,paddock_wood,http://www.paddockwood.com/,Canada,Saskatoon,SK,52.1301,-106.598,"Sun, 09 Jan 2011 14:22:50 +0000",0,1,,,,155,3.63871,,2,301,187,0,,,,,,,,,,,0.0,[],3.64668,False
0,6.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-StowfordPressExportEnglishCider_23194.jpeg,,Stowford Press Export English Cider,westons-stowford-press-export-english-cider,Cider,23194,6135,https://untappd.akamaized.net/site/brewery_logos/brewery-6135_d3de0.jpeg,Westons Cider,westons-cider,Cidery / Meadery,https://www.facebook.com/WestonsCiderMill?sk=info,WestonsCiderMil,http://www.westons-cider.co.uk/,England,Ledbury,Herefordshire,51.9925,-2.51915,"Sun, 09 Jan 2011 14:23:30 +0000",0,1,,,,478,3.30596,,7,643,577,0,,,,,,,,,,,0.0,[],3.44035,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Double Donger IPA,homebrews-double-donger-ipa,IPA - Imperial / Double,23195,1775,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Homebrew,homebrew,Home Brewery,,,,Other,,,0.0,0.0,"Sun, 09 Jan 2011 14:29:02 +0000",1,1,,,,1,0.0,,0,5,2,0,,,,,,,,,,,0.0,[],2.524,False
0,9.3,30 Beers for 30 Years Series,0,https://untappd.akamaized.net/site/beer_logos/beer-W11KGBImperialStout_19673.jpeg,,2011 KGB Russian Imperial Stout,widmer-brothers-brewing-2011-kgb-russian-imperial-stout,Stout - Russian Imperial,19673,3028,https://untappd.akamaized.net/site/brewery_logos/brewery-3028_fdb36.jpeg,Widmer Brothers Brewing,widmer-brothers-brewing,Micro Brewery,http://www.facebook.com/WidmerBrothersBrewing,widmerbrothers,http://www.widmerbrothers.com,United States,Portland,OR,45.541,-122.676,"Fri, 31 Dec 2010 16:30:10 +0000",0,0,19673.0,"Thu, 01 Jan 1970 00:00:00 +0000",23196.0,639,3.83216,,0,1371,917,0,,,,,,9.3,KGB Russian Imperial Stout (2013),widmer-brothers-brewing-kgb-russian-imperial-stout-2013,295567.0,41.0,,,3.77345,False
0,0.0,"Wisconsin grown barley and hand-picked hops make this beer one of a kind. We take pride in brewing this local product and supporting the farmers that make this possible. When you enjoy a Hop Harvest, rest assured that you are truly making a difference in this great state.",0,https://untappd.akamaized.net/site/beer_logos/beer-23197_3ee67_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-23197_c498f_hd.jpeg,Hop Harvest,central-waters-brewing-company-hop-harvest,Pale Ale - American,23197,358,https://untappd.akamaized.net/site/brewery_logos/brewery-358_e71fc.jpeg,Central Waters Brewing Company,central-waters-brewing-company,Micro Brewery,https://www.facebook.com/CWBrewing,cwbrewing,http://www.centralwaters.com/,United States,Amherst,WI,44.4419,-89.2797,"Sun, 09 Jan 2011 14:38:46 +0000",0,0,,,,51,3.58824,,0,80,77,0,,,,,,,,,,,0.0,[],3.62071,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Infinite Nugget ,narbrew-infinite-nugget,IPA - American,23198,5729,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,NARBrew,narbrew,Home Brewery,,,,United States,,,0.0,0.0,"Sun, 09 Jan 2011 14:42:50 +0000",1,1,,,,0,0.0,,0,1,1,0,,,,,,,,,,,0.0,[],3.786,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,schwarzbier,homebrews-schwarzbier,Schwarzbier,23199,1775,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Homebrew,homebrew,Home Brewery,,,,Other,,,0.0,0.0,"Sun, 09 Jan 2011 14:46:06 +0000",1,1,,,,0,0.0,,0,4,4,0,,,,,,,,,,,0.0,[],3.786,False
0,5.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-CarlingBlackLabel_23200.jpeg,,Carling Black Label,molson-coors-canada-carling-black-label,Lager - North American Adjunct,23200,878,https://untappd.akamaized.net/site/brewery_logos/brewery-MolsonCoorsCanada_878.jpeg,Molson Coors Canada,molson-coors-canada,Macro Brewery,,molsoncoors,http://www.molsoncoors.com,Canada,Toronto,ON,43.6751,-79.5902,"Sun, 09 Jan 2011 15:34:43 +0000",0,1,,,,4673,2.52819,,54,7872,5709,0,,,,,,,,,,,0.0,[],2.59699,False
0,0.0,Peat Smoked Wheat,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,T&C's Smoked Wheat,t-c-home-brewing-t-c-s-smoked-wheat,Pale Wheat Ale - American,23201,4659,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,T&C Home Brewing,t-c-home-brewing,Home Brewery,,,,United States,,,0.0,0.0,"Sun, 09 Jan 2011 15:36:52 +0000",1,1,,,,1,0.0,,0,6,1,0,,,,,,,,,,,0.0,[],2.524,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Akage no Anne,otaku-brew-company-akage-no-anne,Sour - Berliner Weisse,23202,6503,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Otaku Brew Company,otaku-brew-company,Home Brewery,,,,Indonesia,,,0.0,0.0,"Sun, 09 Jan 2011 15:42:53 +0000",1,1,,,,0,0.0,,0,1,1,0,,,,,,,,,,,0.0,[],3.786,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Akahori Gedou Hour Rabuge,otaku-brew-company-akahori-gedou-hour-rabuge,Bi?re de Champagne / Bi?re Brut,23203,6503,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Otaku Brew Company,otaku-brew-company,Home Brewery,,,,Indonesia,,,0.0,0.0,"Sun, 09 Jan 2011 15:43:33 +0000",1,1,,,,0,0.0,,0,36,27,0,,,,,,,,,,,0.0,[],3.786,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Akane Maniax,otaku-brew-company-akane-maniax,Bi?re de Garde,23204,6503,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Otaku Brew Company,otaku-brew-company,Home Brewery,,,,Indonesia,,,0.0,0.0,"Sun, 09 Jan 2011 15:44:17 +0000",1,1,,,,0,0.0,,0,2,2,0,,,,,,,,,,,0.0,[],3.786,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Akazukin Chacha,otaku-brew-company-akazukin-chacha,IPA - Black / Cascadian Dark Ale,23205,6503,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Otaku Brew Company,otaku-brew-company,Home Brewery,,,,Indonesia,,,0.0,0.0,"Sun, 09 Jan 2011 15:45:00 +0000",1,1,,,,0,0.0,,0,1,1,0,,,,,,,,,,,0.0,[],3.786,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,All Purpose Cultural Cat-Girl Nuku-Nuku,otaku-brew-company-all-purpose-cultural-cat-girl-nuku-nuku,Lager - Dark,23206,6503,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Otaku Brew Company,otaku-brew-company,Home Brewery,,,,Indonesia,,,0.0,0.0,"Sun, 09 Jan 2011 15:45:45 +0000",1,1,,,,0,0.0,,0,4,4,0,,,,,,,,,,,0.0,[],3.786,False
